function,module,impl_block
lemma_seq_to_array_32_roundtrip(),curve25519-dalek::lemmas::field_lemmas::as_bytes_lemmas,
read_le_u64_into(),curve25519-dalek::scalar,
lemma_sum_of_limbs_bounded_from_fe51_bounded(),curve25519-dalek::lemmas::field_lemmas::add_lemmas,
ct_option_unwrap(),curve25519-dalek::backend::serial::u64::subtle_assumes,
lemma_radix_2w_loop_reconstruction_step(),curve25519-dalek::lemmas::scalar_lemmas_::radix_2w_lemmas,
lemma_reduction_telescoping(),curve25519-dalek::lemmas::field_lemmas::to_bytes_reduction_lemmas,
lemma_as_nat_32_mod_255(),curve25519-dalek::lemmas::field_lemmas::from_bytes_lemmas,
lemma_mul_distributive_8_terms(),curve25519-dalek::lemmas::common_lemmas::mul_lemmas,
lemma_field_neg_mul_left(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
RistrettoPoint::eq(),curve25519-dalek::ristretto,
lemma_canonical_bytes_high_bit_clear(),curve25519-dalek::lemmas::scalar_lemmas,
Scalar52::pack(),curve25519-dalek::scalar,
from_bytes_post(),curve25519-dalek::specs::field_specs,
edwards_point_as_affine(),curve25519-dalek::specs::edwards_specs,
lemma_edwards_d2_limbs_bounded_54(),curve25519-dalek::lemmas::edwards_lemmas::constants_lemmas,
collect_scalars_from_iter(),curve25519-dalek::specs::iterator_specs,
lemma_add_sum_simplify(),curve25519-dalek::lemmas::scalar_lemmas,
test_pippenger_original_vs_verus(),curve25519-dalek::backend::serial::scalar_mul::scalar_mul_tests,
lemma_load8_at_limb0(),curve25519-dalek::lemmas::field_lemmas::load8_lemmas,
limbs_bounded_exec(),curve25519-dalek::backend::serial::u64::scalar::test,
RistrettoPoint::conditional_select(),curve25519-dalek::ristretto,
lemma_modular_power_addition(),curve25519-dalek::lemmas::common_lemmas::pow_lemmas,
Pippenger::optional_multiscalar_mul_verus(),curve25519-dalek::backend::serial::scalar_mul::pippenger,
is_valid_projective_point(),curve25519-dalek::specs::edwards_specs,
lemma_common_divisor_divides_gcd(),curve25519-dalek::lemmas::common_lemmas::number_theory_lemmas,
ct_option_new(),curve25519-dalek::backend::serial::u64::subtle_assumes,
group_order_exec(),curve25519-dalek::backend::serial::u64::scalar::test,
lemma_identity_projective_niels_is_identity(),curve25519-dalek::lemmas::edwards_lemmas::curve_equation_lemmas,
lemma_mod_difference_zero(),curve25519-dalek::lemmas::common_lemmas::number_theory_lemmas,
zeroize_limbs5(),curve25519-dalek::core_assumes,
FieldElement51::is_negative(),curve25519-dalek::field,
lemma_divisibility_factor(),curve25519-dalek::lemmas::common_lemmas::div_mod_lemmas,
step_2(),curve25519-dalek::ristretto::decompress,
reconstruct(),curve25519-dalek::specs::scalar_specs,
lemma_u8_32_as_nat_eq_bytes_seq_as_nat(),curve25519-dalek::lemmas::common_lemmas::to_nat_lemmas,
IsIdentity::is_identity(),curve25519-dalek::traits,
lemma_load8_at_limb1(),curve25519-dalek::lemmas::field_lemmas::load8_lemmas,
lemma_as_bytes_from_bytes_roundtrip(),curve25519-dalek::lemmas::field_lemmas::as_bytes_lemmas,
spec_edwards_point(),curve25519-dalek::specs::edwards_specs,
ProjectiveNielsPoint::zeroize(),curve25519-dalek::backend::serial::curve_models,
Scalar::from(),curve25519-dalek::scalar,
differential_add_and_double(),curve25519-dalek::montgomery,
FieldElement51::pow2k(),curve25519-dalek::backend::serial::u64::field,
lemma_conditional_negate_makes_even(),curve25519-dalek::lemmas::field_lemmas::sqrt_ratio_lemmas,
LookupTable::from(),curve25519-dalek::window,
is_sqrt_ratio(),curve25519-dalek::specs::field_specs,
lemma_backward_loop_is_inverse(),curve25519-dalek::lemmas::scalar_batch_invert_lemmas,
lemma_cancel_coprime_factor(),curve25519-dalek::lemmas::scalar_lemmas,
lemma_naf_even_step(),curve25519-dalek::lemmas::scalar_lemmas_::naf_lemmas,
test_straus_multiscalar_original_vs_verus(),curve25519-dalek::backend::serial::scalar_mul::scalar_mul_tests,
lemma_sum_ristretto_edwards_equiv(),curve25519-dalek::specs::iterator_specs,
lemma_negate_makes_nonnegative(),curve25519-dalek::lemmas::field_lemmas::sqrt_ratio_lemmas,
lemma_sum_equals_byte_nat_52(),curve25519-dalek::lemmas::scalar_byte_lemmas::scalar_to_bytes_lemmas,
lemma_part1_sum_divisible_by_pow2_52(),curve25519-dalek::lemmas::scalar_lemmas_::montgomery_reduce_lemmas,
lemma_u_times_inv_iu_is_neg_i(),curve25519-dalek::lemmas::field_lemmas::sqrt_m1_lemmas,
mul_ci_val_boundaries(),curve25519-dalek::lemmas::field_lemmas::mul_lemmas,
lemma_binomial_prime_divisibility_helper(),curve25519-dalek::lemmas::common_lemmas::number_theory_lemmas,
NafLookupTable5::select(),curve25519-dalek::window,
seq_u64_to_nat(),curve25519-dalek::specs::scalar52_specs,
lemma_invert_is_multiplicative_inverse(),curve25519-dalek::lemmas::field_lemmas::invert_lemmas,
lemma_prefix_equal_when_bytes_match(),curve25519-dalek::lemmas::common_lemmas::to_nat_lemmas,
pre_reduce_limbs(),curve25519-dalek::specs::field_specs_u64,
pow2k_loop_return(),curve25519-dalek::lemmas::field_lemmas::pow2k_lemmas,
lemma_edwards_point_weaken_to_54(),curve25519-dalek::lemmas::field_lemmas::add_lemmas,
edwards_double(),curve25519-dalek::specs::edwards_specs,
lemma_mul_distributive_3_terms(),curve25519-dalek::lemmas::common_lemmas::mul_lemmas,
axiom_ristretto_basepoint_table_valid(),curve25519-dalek::specs::ristretto_specs,
mul_c1_val(),curve25519-dalek::lemmas::field_lemmas::mul_lemmas,
lemma_montgomery_add_u_coord_reduced(),curve25519-dalek::lemmas::montgomery_curve_lemmas,
lemma_two_factoring_51(),curve25519-dalek::lemmas::field_lemmas::pow2_51_lemmas,
RistrettoPoint::optional_multiscalar_mul(),curve25519-dalek::ristretto,
lemma_step1_case_analysis(),curve25519-dalek::lemmas::edwards_lemmas::step1_lemmas,
compute_q_arr(),curve25519-dalek::specs::field_specs_u64,
ct_eq_u16(),curve25519-dalek::backend::serial::u64::subtle_assumes,
is_valid_montgomery_point(),curve25519-dalek::specs::montgomery_specs,
MontgomeryPoint::mul_clamped(),curve25519-dalek::MontgomeryPoint#MontgomeryPoint<[u8;::montgomery,
lemma_identity_on_curve(),curve25519-dalek::lemmas::edwards_lemmas::curve_equation_lemmas,
lemma_scalar_one_properties(),curve25519-dalek::scalar_helpers,
identity_affine_niels(),curve25519-dalek::specs::edwards_specs,
lemma_factorial_coprime_to_prime(),curve25519-dalek::lemmas::common_lemmas::number_theory_lemmas,
clone_ristretto_iter_with_spec(),curve25519-dalek::specs::iterator_specs,
lemma_algebraic_chain_base(),curve25519-dalek::lemmas::field_lemmas::sqrt_ratio_lemmas,
lemma_load8_at_plus_fits_u64(),curve25519-dalek::lemmas::field_lemmas::load8_lemmas,
bytes_as_nat_suffix(),curve25519-dalek::specs::core_specs,
CompressedEdwardsY::try_from(),curve25519-dalek::edwards,
all_points_some(),curve25519-dalek::specs::iterator_specs,
spec_ristretto_compress_affine(),curve25519-dalek::specs::ristretto_specs,
determine_curve25519_dalek_bits(),curve25519-dalek::deterministic,
u16_to_le_bytes(),curve25519-dalek::core_assumes,
CompressedEdwardsY::fmt(),curve25519-dalek::edwards,
mul_term_product_bounds_spec(),curve25519-dalek::lemmas::field_lemmas::mul_lemmas,
FieldElement51::fmt(),curve25519-dalek::backend::serial::u64::field,
conditional_select_field_element(),curve25519-dalek::backend::serial::u64::subtle_assumes,
l0(),curve25519-dalek::lemmas::scalar_lemmas_::montgomery_reduce_part1_chain_lemmas,
NafLookupTable8::select(),curve25519-dalek::window,
axiom_d_plus_one_nonzero(),curve25519-dalek::lemmas::edwards_lemmas::curve_equation_lemmas,
lemma_double_neg_mod(),curve25519-dalek::lemmas::common_lemmas::div_mod_lemmas,
spec_ristretto_from_uniform_bytes(),curve25519-dalek::specs::ristretto_specs,
lemma_odd_sum_up_to_correct(),curve25519-dalek::lemmas::edwards_lemmas::mul_base_lemmas,
lemma_gcd_positive(),curve25519-dalek::lemmas::common_lemmas::number_theory_lemmas,
test_lizard_encode_helper(),curve25519-dalek::lizard::lizard_ristretto::test,
