function,module,impl_block
RistrettoPoint::coset4(),curve25519-dalek::&RistrettoPoint#RistrettoPoint<[EdwardsPoint;::ristretto,
lemma_cancellation_mod_prime(),curve25519-dalek::lemmas::common_lemmas::number_theory_lemmas,
test_basepoint_on_curve(),curve25519-dalek::specs::edwards_specs::basepoint_on_curve_tests,
EdwardsPoint::mul_by_cofactor(),curve25519-dalek::edwards,
lemma_carry_preserves_reconstruction(),curve25519-dalek::lemmas::scalar_lemmas_::radix16_lemmas,
EdwardsPoint::is_identity_spec(),curve25519-dalek::edwards,
lemma_canonical_product_satisfies_canonical_bound(),curve25519-dalek::lemmas::scalar_lemmas_::montgomery_reduce_lemmas,
lemma_words64_from_bytes_to_nat_wide(),curve25519-dalek::lemmas::common_lemmas::to_nat_lemmas,
lemma_pow2_mul_mod(),curve25519-dalek::lemmas::common_lemmas::pow_lemmas,
Scalar::invert(),curve25519-dalek::scalar,
lemma_decompress_field_element_sign_bit(),curve25519-dalek::lemmas::edwards_lemmas::decompress_lemmas,
is_uniform_field_element(),curve25519-dalek::specs::proba_specs,
lemma_limb4_contribution_correctness(),curve25519-dalek::lemmas::field_lemmas::limbs_to_bytes_lemmas,
lemma_fermat_for_p(),curve25519-dalek::specs::field_specs,
axiom_sqrt_m1_squared(),curve25519-dalek::lemmas::field_lemmas::sqrt_m1_lemmas,
lemma_product_of_multiples_mod_eq_factorial(),curve25519-dalek::lemmas::common_lemmas::number_theory_lemmas,
lemma_sub_loop2_invariant(),curve25519-dalek::lemmas::scalar_lemmas,
lemma_pow2_geometric_double(),curve25519-dalek::lemmas::common_lemmas::pow_lemmas,
lemma_field_element51_eq_from_limbs_eq(),curve25519-dalek::lemmas::field_lemmas::add_lemmas,
CompressedEdwardsY::as_bytes(),curve25519-dalek::&CompressedEdwardsY#CompressedEdwardsY<[u8;::edwards,
c4_val(),curve25519-dalek::lemmas::field_lemmas::pow2k_lemmas,
spec_gcd(),curve25519-dalek::lemmas::common_lemmas::number_theory_lemmas,
lemma_field_mul_zero_left(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
FieldElement51::sub_assign(),curve25519-dalek::backend::serial::u64::field,
lemma_invert_correctness(),curve25519-dalek::lemmas::scalar_lemmas,
lemma_pm_plus_mp(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
sqrt_m1(),curve25519-dalek::specs::field_specs,
VartimeEdwardsPrecomputation::optional_mixed_multiscalar_mul(),curve25519-dalek::edwards,
axiom_uniform_elligator_sum(),curve25519-dalek::specs::proba_specs,
lemma_add_loop_bounds(),curve25519-dalek::lemmas::scalar_lemmas,
lemma_byte_from_limb_shift_52(),curve25519-dalek::lemmas::scalar_byte_lemmas::scalar_to_bytes_lemmas,
lemma_edwards_d_limbs_bounded_54(),curve25519-dalek::lemmas::edwards_lemmas::constants_lemmas,
lemma_digits_count_radix_bounds(),curve25519-dalek::lemmas::scalar_lemmas_::radix_2w_lemmas,
spec_projective_to_extended(),curve25519-dalek::specs::edwards_specs,
lemma_pow_mod_one(),curve25519-dalek::lemmas::common_lemmas::pow_lemmas,
lemma_eq_neg_times_i_implies_zero(),curve25519-dalek::lemmas::field_lemmas::sqrt_ratio_lemmas,
axiom_sqrt_m1_limbs_bounded(),curve25519-dalek::lemmas::field_lemmas::sqrt_m1_lemmas,
lemma_p_radix_representation(),curve25519-dalek::lemmas::field_lemmas::to_bytes_reduction_lemmas,
projective_represents_montgomery_or_infinity_nat(),curve25519-dalek::specs::montgomery_specs,
spec_completed_to_extended(),curve25519-dalek::specs::edwards_specs,
lemma_fermat_little_theorem(),curve25519-dalek::lemmas::common_lemmas::number_theory_lemmas,
EdwardsPoint::neg(),curve25519-dalek::edwards,
identity_projective_niels(),curve25519-dalek::specs::edwards_specs,
Scalar::from_canonical_bytes(),curve25519-dalek::Scalar<[u8;::scalar,
lemma_field_neg_nonzero(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
CompressedEdwardsY::decompress(),curve25519-dalek::edwards,
axiom_486660_not_quadratic_residue(),curve25519-dalek::lemmas::montgomery_curve_lemmas,
try_into_32_bytes_array(),curve25519-dalek::core_assumes,
Add::add(),curve25519-dalek::backend::serial::curve_models,
lemma_field_add_canonical_left(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
mul_c0_val(),curve25519-dalek::lemmas::field_lemmas::mul_lemmas,
straus_optional_multiscalar_mul_verus(),curve25519-dalek::backend,
lemma_spec_mul_internal_commutative(),curve25519-dalek::lemmas::scalar_lemmas,
affine_niels_corresponds_to_edwards(),curve25519-dalek::specs::edwards_specs,
limb4_byte_contribution_52(),curve25519-dalek::lemmas::scalar_byte_lemmas::scalar_to_bytes_lemmas,
EdwardsBasepointTable::basepoint(),curve25519-dalek::edwards,
lemma_naf_high_bits_zero(),curve25519-dalek::lemmas::scalar_lemmas_::naf_lemmas,
lemma_projective_affine_product_factor(),curve25519-dalek::lemmas::edwards_lemmas::niels_addition_correctness,
lemma_ladder_invariant_swap(),curve25519-dalek::lemmas::montgomery_lemmas,
choice_and(),curve25519-dalek::backend::serial::u64::subtle_assumes,
lemma_reduce_boundaries(),curve25519-dalek::lemmas::field_lemmas::reduce_lemmas,
ProjectivePoint::is_valid(),curve25519-dalek::backend::serial::curve_models,
collect_optional_edwards_from_ristretto_iter(),curve25519-dalek::specs::iterator_specs,
elligator_encode(),curve25519-dalek::montgomery,
MontgomeryPoint::eq(),curve25519-dalek::montgomery,
lemma_limb0_contribution_correctness_52(),curve25519-dalek::lemmas::scalar_byte_lemmas::scalar_to_bytes_lemmas,
FieldElement51::zeroize(),curve25519-dalek::backend::serial::u64::field,
lemma_mod_add_eq(),curve25519-dalek::lemmas::common_lemmas::div_mod_lemmas,
lemma_one_field_element_value(),curve25519-dalek::lemmas::field_lemmas::constants_lemmas,
Scalar::from(),curve25519-dalek::scalar,
is_inverse_of_nat(),curve25519-dalek::specs::scalar_specs,
NafLookupTable5::clone(),curve25519-dalek::window,
Scalar::sum(),curve25519-dalek::scalar,
seq_to_nat_52(),curve25519-dalek::specs::scalar52_specs,
lemma_field_sub_antisymmetric(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
lemma_pow2_mul_bound_general(),curve25519-dalek::lemmas::common_lemmas::pow_lemmas,
lemma_montgomery_scalar_mul_zero_point_closed(),curve25519-dalek::lemmas::montgomery_curve_lemmas,
