function,module,link,has_spec,has_proof
ProjectivePoint::as_extended,curve25519_dalek::backend::serial::curve_models,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/serial/curve_models/mod.rs#L555,yes,
ProjectivePoint::conditional_select,curve25519_dalek::montgomery,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/montgomery.rs#L1836,yes,yes
ProjectivePoint::default,curve25519_dalek::montgomery,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/montgomery.rs#L1824,yes,yes
ProjectivePoint::double,curve25519_dalek::backend::serial::curve_models,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/serial/curve_models/mod.rs#L773,yes,
ProjectivePoint::identity,curve25519_dalek::backend::serial::curve_models,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/serial/curve_models/mod.rs#L267,yes,yes
ProjectivePoint::identity,curve25519_dalek::montgomery,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/montgomery.rs#L1774,yes,yes
ProjectivePoint::is_valid,curve25519_dalek::backend::serial::curve_models,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/serial/curve_models/mod.rs#L327,yes,
RistrettoBasepointTable::basepoint,curve25519_dalek::ristretto,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/ristretto.rs#L2280,yes,yes
RistrettoBasepointTable::create,curve25519_dalek::ristretto,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/ristretto.rs#L2270,yes,yes
RistrettoPoint::add_assign,curve25519_dalek::ristretto,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/ristretto.rs#L1575,yes,yes
RistrettoPoint::compress,curve25519_dalek::ristretto,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/ristretto.rs#L652,yes,
RistrettoPoint::conditional_select,curve25519_dalek::ristretto,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/ristretto.rs#L2299,yes,yes
RistrettoPoint::coset4,curve25519_dalek::ristretto,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/ristretto.rs#L1080,yes,yes
RistrettoPoint::ct_eq,curve25519_dalek::ristretto,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/ristretto.rs#L1495,yes,
RistrettoPoint::default,curve25519_dalek::ristretto,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/ristretto.rs#L1458,yes,yes
RistrettoPoint::double_and_compress_batch_verus,curve25519_dalek::ristretto,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/ristretto.rs#L912,yes,
